Swedish,English,mottagning,reception
Swedish,English,nedsättande,derogatory
Swedish,English,utebli,to fail to appear
Swedish,English,usel,wretched
Swedish,English,ana,guess
Swedish,English,flertydighet,ambiguity
Swedish,English,förbryllande,puzzling
Swedish,English,ur,from
Swedish,English,krets,circuit
Swedish,English,låtsa,pretend
Swedish,English,tät,close
Swedish,English,förutsättning,prerequisite
Swedish,English,sia om,predict
Swedish,English,vurm,craze
Swedish,English,sammanträffand,coincidence
Swedish,English,andlighet,spirituality
Swedish,English,beteckna,designate
Swedish,English,samfund,Society
Swedish,English,vrida,turn
Swedish,English,ande,Spirit
Swedish,English,varannan,every other
Swedish,English,utslag,rash
Swedish,English,förvalta,manage
Swedish,English,rankas,ranked
Swedish,English,välgörenhet,charity
Swedish,English,motvilja,aversion
Swedish,English,beskattning,taxation
Swedish,English,bana,path
Swedish,English,yttrandefrihet,freedom of speech
Swedish,English,lydna,obey
Swedish,English,betonar,emphasizes
Swedish,English,förverkligande,realization
Swedish,English,lämplig,suitable
Swedish,English,klang,sound
Swedish,English,tilltal,address
Swedish,English,utgår från,based on
Swedish,English,ting,thing
Swedish,English,förnimmer,perceives
Swedish,English,strida mot,to fight against
Swedish,English,tallkottkörtel,pineal gland
Swedish,English,återforenas,reunite
Swedish,English,sammanfatta,summarize
Swedish,English,rasera,demolish
Swedish,English,bedra,deceive
Swedish,English,Avhandling,Thesis
Swedish,English,smällkall,freezing cold
Swedish,English,framstående,eminent
Swedish,English,medfödda,congenital
Swedish,English,huvudsakligen,mainly
Swedish,English,vittne,witness
Swedish,English,förr,before
Swedish,English,missta,mistake
Swedish,English,grundad,based
Swedish,English,ljuga,lie
Swedish,English,huruvida,whether
Swedish,English,förnuft,sense
Swedish,English,ovan,above
Swedish,English,rubrik,heading
Swedish,English,bevisföring,evidence
Swedish,English,kontra,versus
Swedish,English,samklang,harmony
Swedish,English,varelse,creature
Swedish,English,återförena,reunite
Swedish,English,ask,box
Swedish,English,fåtal,few
Swedish,English,förfäran,dismay
Swedish,English,föregår,precedes
Swedish,English,ödmjuk,humble
Swedish,English,underbarn,prodigy
Swedish,English,behärska,master
Swedish,English,kännetecke,characteristic
Swedish,English,efterträdare,successor
Swedish,English,hålla isär,keep apart
Swedish,English,utlösa,trigger
Swedish,English,till synes,seemingly
Swedish,English,inrikta sig,to orient oneself
Swedish,English,irra,wander
Swedish,English,förtjusning,delight
Swedish,English,skara,crowd
Swedish,English,tillvaro,existence
Swedish,English,uteslutande,exclusively
Swedish,English,snäv,narrow
Swedish,English,dammsugare,vacuum cleaner
Swedish,English,intill,adjacent
Swedish,English,sluka,devour
Swedish,English,utrusta,equip
Swedish,English,utvisa,show
Swedish,English,motsvarighet,equivalent
Swedish,English,tillåtelse,permission
Swedish,English,allenarådande,dominant
Swedish,English,undervisning,teaching
Swedish,English,läskunning,literacy
Swedish,English,belägg,evidence
Swedish,English,vagga,rock
Swedish,English,påtvingade,forced
Swedish,English,påtvinga,impose
Swedish,English,synnerligen,particularly
Swedish,English,erövra,conquer
Swedish,English,drag,features
Swedish,English,rensa,clear
Swedish,English,husförhör,house arrest
Swedish,English,uppgift,task
Swedish,English,bokstavstrogen tolkning,literal interpretation
Swedish,English,ordförråd,vocabulary
Swedish,English,stavning,spelling
Swedish,English,inverka,influence
Swedish,English,döpa,baptize
Swedish,English,folkmassa,crowd
Swedish,English,skärgård,Archipelago
Swedish,English,landsflykt,exile
Swedish,English,pjäs,play
Swedish,English,österrike,Austria
Swedish,English,på vift,on the move
Swedish,English,tillbringa,spend
Swedish,English,föredra,prefer
Swedish,English,strosa,stroll
Swedish,English,utsträckning,extent
Swedish,English,jordbruk,Agriculture
Swedish,English,genväg,shortcut
Swedish,English,nalka,approach
Swedish,English,Herregud,Oh my God
Swedish,English,fuska,to cheat
Swedish,English,sjal,shawl
Swedish,English,örhänge,earring
Swedish,English,hälsa på,to visit
Swedish,English,tristessen,the boredom
Swedish,English,inte ett dugg,not a bit
Swedish,English,tröskel,threshold
Swedish,English,över huvud taget,at all
Swedish,English,påtalar,points out
Swedish,English,gemene man,the common man
Swedish,English,krympa,to shrink
Swedish,English,kärnfrågan,the core issue
Swedish,English,smygande,insidious
Swedish,English,hugget i sten,set in stone
Swedish,English,lindra,to alleviate
Swedish,English,avgörande,decisive
Swedish,English,erbarmlig,pitiful
Swedish,English,dagordning,agenda
Swedish,English,överskådlig,"clear, easy to grasp"
Swedish,English,svåröverskådlig,hard to grasp
Swedish,English,överskuggande,overshadowing
Swedish,English,behaglig,pleasant
Swedish,English,bebo,to inhabit
Swedish,English,obehaglig,unpleasant
Swedish,English,vattenånga,steam
Swedish,English,omständighet,circumstance
Swedish,English,orimlig,unreasonable
Swedish,English,förmätet,"audacious, arrogant"
Swedish,English,mängd,amount
Swedish,English,förkunna,"to preach, to declare"
Swedish,English,förökar sig,"to multiply, to reproduce"
Swedish,English,frodas,"to thrive, to flourish"
Swedish,English,att bli av med,to get rid of
Swedish,English,utöka,to expand
Swedish,English,matta,"rug, carpet"
Swedish,English,frön,seeds
Swedish,English,avgas,exhaust
Swedish,English,sörjer,mourns
Swedish,English,dessvärre,unfortunately
Swedish,English,rår på,"can handle, can cope with"
Swedish,English,hålla i schack,to keep in check
Swedish,English,ödesmättad,fateful
Swedish,English,glupsk,"voracious, gluttonous"
Swedish,English,snål,stingy
Swedish,English,ställer till,causes (trouble)
Swedish,English,att ta kål på,to kill off
Swedish,English,fälla,trap
Swedish,English,oförtjänt,undeservedly
Swedish,English,utrota,to exterminate
Swedish,English,sällsynt,rare
Swedish,English,inhemsk,"native, domestic"
Swedish,English,fjäril,butterfly
Swedish,English,utrotningshotad,endangered
Swedish,English,sköldpadda,turtle
Swedish,English,sval,cool
Swedish,English,besvärlig,"troublesome, difficult"
